central memory CD4-positive, alpha-beta T cell
natural killer cell
naive thymus-derived CD4-positive, alpha-beta T cell
effector memory CD8-positive, alpha-beta T cell
naive B cell
central memory CD8-positive, alpha-beta T cell
effector memory CD4-positive, alpha-beta T cell
memory B cell
erythrocyte
naive thymus-derived CD8-positive, alpha-beta T cell
CD16-negative, CD56-bright natural killer cell, human
transitional stage B cell
CD14-low, CD16-positive monocyte
mucosal invariant T cell
regulatory T cell
CD14-positive monocyte
gamma-delta T cell
CD4-positive, alpha-beta cytotoxic T cell
double negative thymocyte
hematopoietic precursor cell
platelet
plasmablast
innate lymphoid cell
conventional dendritic cell
peripheral blood mononuclear cell
plasmacytoid dendritic cell
CD8-positive, alpha-beta T cell
CD4-positive, alpha-beta T cell
dendritic cell
