donor_id	sex	age
691_692	0	66
693_694	1	88
688_689	0	66
683_684	0	78
684_685	1	75
686_687	0	69
689_690	0	59
687_688	1	63
690_691	0	68
685_686	1	75
692_693	1	62
682_683	0	73
825_826	1	65
823_824	1	75
829_830	0	66
832_833	1	71
831_832	1	68
827_828	0	71
830_831	1	68
824_825	0	66
842_843	1	75
843_844	0	62
826_827	1	69
847_848	1	74
836_837	0	72
990_991	1	69
835_836	1	64
989_990	0	61
848_849	1	84
997_998	0	68
834_835	0	64
849_850	1	81
985_986	1	76
851_852	1	66
845_846	0	81
850_851	0	64
846_847	1	77
852_853	1	65
999_1000	1	62
996_997	1	68
995_996	1	71
812_813	1	51
994_995	1	66
991_992	1	76
992_993	1	63
998_999	0	71
811_812	0	50
810_811	1	77
986_987	0	69
993_994	0	69
857_858	1	59
1003_1004	1	58
1002_1003	0	73
854_855	0	74
855_856	1	22
1004_1005	1	74
858_859	1	53
1000_1001	1	73
1001_1002	1	57
987_988	1	74
856_857	1	60
853_854	1	59
988_989	1	81
859_860	1	46
802_803	0	70
804_805	0	53
891_892	1	57
865_866	1	66
1007_1008	1	75
861_862	1	67
862_863	1	45
860_861	1	49
864_865	1	61
1006_1007	0	73
803_804	1	54
863_864	0	69
890_891	1	65
1005_1006	0	66
1009_1010	1	72
805_806	0	57
1010_1011	1	71
1008_1009	0	71
807_808	1	35
893_894	1	67
806_807	0	49
892_893	1	79
1011_1012	1	67
808_809	1	40
809_810	1	49
1012_1013	1	70
1014_1015	1	70
1021_1022	1	75
1016_1017	0	68
1023_1024	1	60
1018_1019	1	68
898_899	1	63
1019_1020	0	69
894_895	0	75
899_900	1	91
896_897	1	64
1022_1023	1	68
900_901	1	77
1015_1016	0	67
1020_1021	1	80
901_902	0	21
1031_1032	1	72
1032_1033	0	59
1025_1026	1	57
1028_1029	1	72
904_905	1	66
1029_1030	1	72
905_906	1	56
903_904	1	66
1024_1025	1	70
1026_1027	1	75
1027_1028	1	70
1030_1031	0	60
1033_1034	1	61
902_903	0	80
912_913	0	73
1036_1037	1	78
907_908	1	71
1039_1040	1	75
911_912	1	65
906_907	0	71
909_910	1	63
1038_1039	1	61
1037_1038	0	58
908_909	1	63
910_911	1	42
1035_1036	1	70
1040_1041	1	72
1034_1035	1	64
871_872	0	85
1042_1043	1	57
868_869	1	87
872_873	1	81
915_916	1	73
869_870	1	85
914_915	1	87
917_918	0	86
916_917	1	72
867_868	1	72
694_695	0	24
1041_1042	1	72
662_663	0	81
695_696	1	72
701_702	1	73
661_662	0	78
664_665	1	56
704_705	1	88
696_697	1	81
663_664	1	89
702_703	1	84
699_700	1	65
700_701	1	71
697_698	1	85
883_884	1	74
918_919	0	75
880_881	1	81
877_878	1	66
873_874	0	71
878_879	0	85
884_885	1	87
876_877	1	76
875_876	0	77
881_882	0	76
885_886	1	87
879_880	0	83
882_883	0	79
874_875	1	66
378_379	1	22
886_887	1	70
376_377	0	79
888_889	0	83
887_888	0	68
379_380	1	51
377_378	1	38
372_373	1	49
370_371	1	26
371_372	1	41
374_375	1	50
373_374	1	78
889_890	1	81
301_302	1	88
380_381	0	79
303_304	0	85
294_295	1	54
296_297	1	80
299_300	1	95
302_303	1	83
305_306	0	74
298_299	0	74
304_305	1	68
293_294	1	86
297_298	0	82
295_296	0	87
309_310	0	75
314_315	1	80
315_316	0	80
311_312	1	88
316_317	1	76
308_309	1	79
306_307	1	80
317_318	1	66
292_293	1	76
313_314	1	33
307_308	1	91
318_319	1	88
312_313	1	84
310_311	1	80
320_321	1	89
1047_1048	1	71
1045_1046	1	67
325_326	1	66
322_323	0	90
1043_1044	0	71
1046_1047	1	62
323_324	1	77
1048_1049	1	64
324_325	1	97
326_327	0	66
321_322	0	76
319_320	1	84
1044_1045	1	65
1052_1053	0	75
332_333	1	62
1055_1056	1	71
331_332	1	24
1054_1055	1	75
327_328	1	23
1051_1052	1	63
1057_1058	0	71
333_334	0	51
1049_1050	1	61
1056_1057	0	68
1053_1054	1	62
1050_1051	0	57
330_331	1	63
334_335	1	60
1065_1066	1	65
924_925	1	39
1064_1065	0	70
922_923	0	36
1058_1059	0	60
1063_1064	0	77
920_921	0	41
921_922	1	76
1059_1060	0	70
1060_1061	1	59
1061_1062	1	62
923_924	1	38
759_760	1	71
753_754	1	88
755_756	1	66
754_755	0	78
1062_1063	1	59
770_771	1	55
756_757	0	66
757_758	1	88
760_761	1	55
769_770	1	62
762_763	1	32
761_762	1	69
758_759	0	75
291_292	1	67
771_772	0	66
764_765	1	65
766_767	0	41
772_773	1	52
773_774	1	61
765_766	0	72
767_768	1	47
774_775	0	71
776_777	0	74
786_787	1	76
787_788	1	62
782_783	1	73
790_791	0	76
788_789	0	73
783_784	1	79
791_792	0	40
781_782	1	76
784_785	1	60
779_780	0	52
780_781	1	60
789_790	0	61
669_670	0	64
668_669	1	69
707_708	0	71
667_668	0	76
705_706	1	88
711_712	1	22
709_710	0	24
665_666	1	53
708_709	1	63
666_667	1	63
670_671	0	83
706_707	1	88
446_447	1	72
793_794	1	78
458_459	1	84
405_406	1	70
457_458	0	73
454_455	0	79
406_407	1	59
456_457	0	76
445_446	1	83
453_454	1	85
455_456	1	80
443_444	1	29
459_460	1	87
433_434	0	80
451_452	0	89
447_448	0	66
461_462	1	61
463_464	1	86
450_451	0	84
460_461	1	58
448_449	1	82
462_463	1	83
452_453	0	77
449_450	1	85
432_433	0	78
431_432	1	78
464_465	1	76
363_364	1	66
366_367	0	35
364_365	1	42
437_438	1	21
367_368	1	65
438_439	1	32
361_362	1	56
435_436	0	67
360_361	1	46
439_440	0	71
436_437	0	45
365_366	1	67
434_435	1	78
426_427	1	63
359_360	0	58
441_442	0	70
424_425	1	78
425_426	1	50
357_358	1	39
358_359	1	52
356_357	0	28
422_423	1	53
428_429	0	75
423_424	0	59
429_430	0	87
427_428	0	67
398_399	1	55
394_395	0	37
399_400	1	49
415_416	0	80
418_419	0	76
1072_1073	1	59
368_369	1	36
419_420	1	72
1073_1074	0	68
416_417	0	63
442_443	0	58
396_397	1	57
395_396	0	66
417_418	0	78
347_348	1	49
402_403	0	66
1071_1072	1	73
390_391	1	78
412_413	0	85
414_415	1	22
403_404	1	65
388_389	1	62
387_388	0	65
400_401	0	46
413_414	1	24
389_390	0	81
410_411	0	61
1070_1071	1	71
498_499	0	71
335_336	0	71
494_495	1	24
411_412	1	49
404_405	1	64
1066_1067	1	71
497_498	1	31
342_343	0	80
328_329	0	65
329_330	0	42
409_410	1	65
489_490	0	52
337_338	1	42
420_421	1	75
488_489	0	56
340_341	1	78
336_337	0	57
338_339	0	69
486_487	1	36
490_491	0	64
487_488	0	67
339_340	0	80
421_422	0	61
408_409	1	74
496_497	0	33
554_555	0	80
870_871	1	71
485_486	1	48
752_753	0	54
552_553	0	29
393_394	0	56
348_349	1	31
559_560	0	77
558_559	1	80
866_867	1	67
391_392	1	43
553_554	0	36
515_516	0	37
516_517	1	34
392_393	1	56
502_503	1	66
98_98	1	28
563_564	0	75
561_562	0	56
503_504	0	49
562_563	1	71
517_518	0	68
407_408	0	65
492_493	1	79
493_494	0	73
751_752	1	75
680_681	0	77
677_678	1	76
681_682	1	68
716_717	0	65
676_677	1	88
675_676	1	73
673_674	0	91
671_672	1	81
715_716	1	76
679_680	1	85
719_720	1	88
678_679	0	83
674_675	1	83
672_673	0	85
102_102	1	23
482_483	0	23
479_480	0	86
369_370	1	54
484_485	1	60
481_482	1	68
383_384	0	81
478_479	0	68
483_484	0	71
382_383	1	63
99_99	1	43
480_481	0	69
101_101	1	71
381_382	1	77
539_540	0	62
531_532	0	65
105_105	1	31
505_506	0	54
530_531	0	78
529_530	0	78
532_533	0	79
527_528	0	65
104_104	1	57
533_534	0	33
540_541	1	53
538_539	1	60
528_529	0	68
537_538	1	53
546_547	1	73
542_543	0	58
544_545	0	68
545_546	1	67
543_544	1	72
534_535	0	88
541_542	1	58
506_507	1	41
524_525	0	74
507_508	0	66
521_522	1	57
535_536	1	82
536_537	0	67
512_513	1	79
549_550	1	60
510_511	0	84
514_515	0	90
511_512	0	89
550_551	1	82
509_510	1	80
551_552	1	72
547_548	0	73
1068_1069	1	72
555_556	0	77
513_514	0	82
112_112	1	81
472_473	0	77
469_470	0	78
599_600	1	71
600_601	0	39
468_469	1	76
567_568	0	68
471_472	1	65
466_467	1	85
467_468	1	74
525_526	1	78
566_567	0	58
570_571	0	59
569_570	0	69
572_573	0	86
116_116	1	77
110_110	1	84
117_117	0	91
473_474	1	72
107_107	0	85
114_114	1	72
109_109	0	84
111_111	1	69
108_108	1	67
474_475	1	79
571_572	1	84
106_106	0	80
604_605	1	81
605_606	1	41
575_576	0	50
606_607	1	71
1075_1076	1	57
602_603	0	70
574_575	1	24
603_604	0	87
621_622	0	91
573_574	1	26
548_549	1	40
1074_1075	1	69
1076_1077	0	73
608_609	0	67
612_613	0	83
616_617	1	53
619_620	1	22
617_618	1	62
620_621	1	35
609_610	0	62
610_611	0	63
614_615	1	67
607_608	1	77
613_614	1	78
611_612	1	76
615_616	1	58
618_619	1	30
577_578	0	72
637_638	0	87
508_509	0	79
578_579	1	22
499_500	1	77
504_505	1	85
636_637	0	75
576_577	1	70
623_624	1	74
622_623	0	86
638_639	1	68
470_471	0	83
970_971	1	58
739_740	0	80
722_723	1	81
718_719	1	80
743_744	1	60
971_972	1	62
721_722	0	81
720_721	0	78
717_718	1	76
968_969	0	60
737_738	1	94
740_741	1	84
738_739	1	96
736_737	1	87
639_640	0	79
526_527	1	66
645_646	0	86
579_580	1	34
650_651	1	80
640_641	1	83
646_647	1	85
651_652	1	67
649_650	0	80
652_653	1	84
648_649	1	73
641_642	0	85
647_648	1	68
580_581	0	37
589_590	1	75
586_587	0	51
587_588	1	72
585_586	0	71
590_591	0	69
582_583	1	52
581_582	1	63
644_645	1	59
624_625	0	60
584_585	0	74
583_584	0	36
588_589	0	69
625_626	1	59
634_635	0	55
635_636	1	66
592_593	0	68
595_596	0	81
593_594	0	69
344_345	0	61
345_346	0	66
591_592	0	83
629_630	0	34
628_629	0	73
630_631	1	54
626_627	1	46
594_595	1	74
627_628	1	69
655_656	0	60
52_52	1	52
385_386	1	47
659_660	1	20
353_354	1	71
654_655	0	59
657_658	0	68
351_352	1	77
653_654	0	86
354_355	0	23
386_387	0	80
658_659	1	42
346_347	0	61
350_351	1	52
41_41	0	77
465_466	0	59
113_113	0	67
349_350	0	51
632_633	0	70
39_39	1	42
660_661	1	40
43_43	1	46
597_598	0	52
352_353	1	58
633_634	1	57
596_597	1	44
42_42	1	59
40_40	1	72
75_75	1	73
57_57	0	32
93_93	0	60
47_47	1	19
58_58	0	19
49_49	0	84
90_90	1	75
53_53	1	32
50_50	0	64
92_92	0	71
91_91	0	53
48_48	1	86
51_51	1	60
89_89	0	66
60_60	1	35
54_54	1	66
56_56	1	36
97_97	0	59
55_55	1	71
63_63	1	44
286_287	0	44
64_64	0	46
276_277	1	65
1077_1078	0	61
61_61	0	25
95_95	0	69
96_96	0	64
287_288	1	79
86_86	0	43
71_71	1	86
88_88	0	78
163_163	1	56
72_72	0	77
84_84	0	57
1081_1082	0	73
85_85	0	70
1080_1081	1	71
1079_1080	1	77
1078_1079	0	65
87_87	0	63
70_70	0	50
170_171	1	43
169_170	0	20
155_155	0	56
171_172	1	62
173_174	0	68
167_168	1	58
168_169	0	79
154_154	0	67
172_173	1	23
166_167	1	34
165_166	1	61
175_176	1	49
164_165	1	41
156_156	1	73
28_28	1	74
134_134	1	73
142_142	1	67
598_599	1	49
141_141	1	36
138_138	0	64
137_137	1	87
46_46	0	68
139_139	1	79
140_140	0	60
27_27	1	73
25_25	0	64
723_724	1	69
978_979	1	71
977_978	1	70
974_975	0	74
724_725	1	65
972_973	1	81
976_977	1	67
969_970	1	59
973_974	0	79
975_976	0	75
714_715	1	61
979_980	0	64
725_726	0	57
726_727	1	67
149_149	1	59
177_178	0	19
179_180	1	31
148_148	0	62
144_144	0	44
150_150	1	31
145_145	0	87
147_147	1	54
178_179	0	47
176_177	1	27
153_153	1	46
152_152	0	68
151_151	1	19
146_146	0	63
81_81	1	62
77_77	0	40
79_79	1	60
288_289	0	80
83_83	1	52
76_76	0	73
180_181	1	68
78_78	0	38
289_290	1	29
656_657	0	61
82_82	0	64
355_356	1	27
45_45	0	71
181_182	1	66
281_282	1	53
278_279	0	45
65_65	0	58
280_281	1	25
283_284	0	47
69_69	1	66
68_68	0	73
282_283	0	40
284_285	0	30
279_280	1	73
290_291	1	53
66_66	1	66
44_44	0	60
127_127	1	85
121_121	0	71
120_120	0	46
126_126	0	65
130_130	0	72
119_119	0	38
125_125	1	74
133_133	0	62
128_128	0	37
132_132	1	62
122_122	1	67
129_129	0	35
123_123	0	50
131_131	1	67
185_186	0	62
29_29	1	69
188_189	0	46
189_190	1	68
33_33	1	73
186_187	1	28
1_1	1	65
187_188	0	26
2_2	1	48
35_35	1	69
36_36	0	66
30_30	0	37
37_37	1	47
38_38	0	79
183_184	1	65
191_192	1	55
184_185	0	83
161_161	1	33
190_191	0	61
159_159	0	63
160_160	1	60
4_4	1	48
158_158	0	59
3_3	1	53
182_183	0	70
124_124	1	71
248_249	0	69
243_244	1	59
245_246	1	58
244_245	1	79
6_6	1	79
247_248	0	77
8_8	0	71
252_253	0	29
255_256	1	54
7_7	1	74
250_251	0	63
251_252	0	35
242_243	1	82
9_9	1	32
226_227	1	77
233_234	1	67
11_11	0	81
232_233	0	24
236_237	0	51
225_226	0	32
229_230	0	27
231_232	1	40
223_224	0	71
230_231	1	60
224_225	0	85
10_10	1	78
213_214	0	86
246_247	1	28
208_209	1	72
238_239	1	39
211_212	1	53
209_210	0	93
212_213	1	93
207_208	0	39
239_240	0	39
214_215	1	69
206_207	1	63
237_238	0	25
813_814	1	81
981_982	0	73
734_735	0	83
816_817	1	65
838_839	1	70
980_981	1	71
732_733	1	89
982_983	1	72
819_820	1	67
735_736	1	77
731_732	1	83
727_728	1	77
210_211	0	46
13_13	1	50
222_223	1	48
217_218	1	73
215_216	1	60
219_220	0	67
221_222	0	84
12_12	1	52
220_221	1	66
15_15	1	67
16_16	1	45
17_17	0	70
257_258	1	68
19_19	1	74
259_260	1	45
256_257	0	52
18_18	1	80
23_23	0	42
262_263	1	66
258_259	0	68
260_261	0	76
272_273	1	54
271_272	1	20
274_275	0	66
263_264	0	77
267_268	1	61
266_267	0	49
264_265	0	59
270_271	1	64
275_276	0	31
273_274	1	63
269_270	0	76
24_24	0	77
934_935	1	76
927_928	1	66
933_934	0	48
935_936	0	71
926_927	0	70
932_933	0	32
929_930	1	59
930_931	1	43
937_938	1	48
938_939	0	62
944_945	1	40
939_940	0	72
946_947	1	42
943_944	0	77
947_948	0	29
940_941	0	71
949_950	0	31
945_946	0	30
950_951	0	66
941_942	1	68
942_943	1	64
962_963	0	57
955_956	0	44
961_962	1	62
951_952	1	20
960_961	1	73
957_958	0	27
952_953	0	73
953_954	0	65
959_960	1	19
956_957	0	45
954_955	0	31
958_959	1	78
476_477	0	53
475_476	0	36
520_521	0	69
384_385	0	61
557_558	1	64
564_565	0	80
560_561	0	72
477_478	1	53
491_492	0	41
565_566	0	57
500_501	0	59
522_523	1	62
519_520	1	75
501_502	1	64
241_242	1	79
192_193	1	58
203_204	0	59
198_199	1	27
240_241	1	68
196_197	0	72
197_198	0	60
204_205	0	60
194_195	1	46
202_203	1	49
201_202	0	39
200_201	0	53
199_200	1	63
193_194	1	63
729_730	0	46
744_745	0	63
742_743	1	32
745_746	0	72
839_840	1	72
983_984	1	62
730_731	0	71
748_749	0	48
746_747	1	81
747_748	1	48
733_734	1	82
818_819	0	89
984_985	1	60
749_750	1	79
750_751	1	75
800_801	1	37
799_800	0	70
795_796	1	73
814_815	1	79
815_816	0	72
794_795	0	39
821_822	0	90
796_797	0	64
840_841	1	75
801_802	1	76
797_798	1	75
798_799	0	60
822_823	1	86
